image_name,fold,split
R23_272_2A1_C1Q-FITC_glomerulo_002.png,0,train
R23_272_2A1_C1Q-FITC_glomerulo_005.png,0,train
R23_272_2A1_C1Q-FITC_glomerulo_004.png,0,train
R23_272_2A1_C1Q-FITC_glomerulo_003.png,0,train
R23_272_2A1_C1Q-FITC_glomerulo_001.png,0,train
R23_272_2A1_C3-FITC_glomerulo_004.png,0,train
R23_272_2A1_C3-FITC_glomerulo_001.png,0,train
R23_272_2A1_C3-FITC_glomerulo_005.png,0,train
R23_272_2A1_C3-FITC_glomerulo_003.png,0,train
R23_272_2A1_C3-FITC_glomerulo_002.png,0,train
R23_272_2A1_IGM-FITC_glomerulo_003.png,0,train
R23_272_2A1_IGM-FITC_glomerulo_002.png,0,train
R23_272_2A1_IGM-FITC_glomerulo_004.png,0,train
R23_272_2A1_IGM-FITC_glomerulo_001.png,0,train
R23_272_2A1_IGA-FITC_glomerulo_003.png,0,train
R23_272_2A1_IGA-FITC_glomerulo_001.png,0,train
R23_272_2A1_IGA-FITC_glomerulo_002.png,0,train
R23_272_2A1_IGA-FITC_glomerulo_004.png,0,train
R23_272_2A1_IGG-FITC_glomerulo_002.png,0,train
R23_272_2A1_IGG-FITC_glomerulo_003.png,0,train
R23_272_2A1_IGG-FITC_glomerulo_001.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_007.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_006.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_004.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_003.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_002.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_005.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_001.png,0,train
R23_270_1A1_IGA-FITC_glomerulo_008.png,0,train
R23_273_2A1_IGG-FITC_glomerulo_001.png,0,train
R22-169 LAMBDA_glomerulo_002.png,0,train
R22-169 LAMBDA_glomerulo_003.png,0,train
R22-169 LAMBDA_glomerulo_001.png,0,train
R22-169 IgG_glomerulo_003.png,0,train
R22-169 IgG_glomerulo_005.png,0,train
R22-169 IgG_glomerulo_001.png,0,train
R22-169 IgG_glomerulo_002.png,0,train
R22-169 IgG_glomerulo_004.png,0,train
R22-169 IgG_glomerulo_006.png,0,train
R22-169 KAPPA_glomerulo_001.png,0,train
R22-169 KAPPA_glomerulo_002.png,0,train
R22-169 IgM_glomerulo_004.png,0,train
R22-169 IgM_glomerulo_005.png,0,train
R22-169 IgM_glomerulo_003.png,0,train
R22-169 IgM_glomerulo_002.png,0,train
R22-169 IgM_glomerulo_001.png,0,train
R22-141 KAPPA_glomerulo_001.png,0,train
R22-141 KAPPA_glomerulo_002.png,0,train
R22-141 KAPPA_glomerulo_006.png,0,train
R22-141 KAPPA_glomerulo_008.png,0,train
R22-141 KAPPA_glomerulo_009.png,0,train
R22-141 KAPPA_glomerulo_007.png,0,train
R22-141 KAPPA_glomerulo_005.png,0,train
R22-141 KAPPA_glomerulo_004.png,0,train
R22-141 KAPPA_glomerulo_003.png,0,train
R22-141 lambda_glomerulo_013.png,0,train
R22-141 lambda_glomerulo_001.png,0,train
R22-141 lambda_glomerulo_015.png,0,train
R22-141 lambda_glomerulo_010.png,0,train
R22-141 lambda_glomerulo_004.png,0,train
R22-141 lambda_glomerulo_008.png,0,train
R22-141 lambda_glomerulo_011.png,0,train
R22-141 lambda_glomerulo_002.png,0,train
R22-141 lambda_glomerulo_006.png,0,train
R22-141 lambda_glomerulo_014.png,0,train
R22-141 lambda_glomerulo_005.png,0,train
R22-141 lambda_glomerulo_012.png,0,train
R22-141 lambda_glomerulo_016.png,0,train
R22-141 lambda_glomerulo_003.png,0,train
R22-141 lambda_glomerulo_007.png,0,train
R22-141 lambda_glomerulo_009.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_003.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_004.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_012.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_006.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_011.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_007.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_010.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_002.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_005.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_008.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_001.png,0,train
R23_188_2A1_IgA-FITC_glomerulo_009.png,0,train
R23_188_2A1_C1q-FITC_glomerulo_005.png,0,train
R23_188_2A1_C1q-FITC_glomerulo_002.png,0,train
R23_188_2A1_C1q-FITC_glomerulo_003.png,0,train
R23_188_2A1_C1q-FITC_glomerulo_004.png,0,train
R23_188_2A1_C1q-FITC_glomerulo_001.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_002.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_005.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_006.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_001.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_003.png,0,train
R23_188_2A1_IgM-FITC_glomerulo_004.png,0,train
R23_188_2A1_C3-FITC_glomerulo_002.png,0,train
R23_188_2A1_C3-FITC_glomerulo_004.png,0,train
R23_188_2A1_C3-FITC_glomerulo_001.png,0,train
R23_188_2A1_C3-FITC_glomerulo_003.png,0,train
R23_188_2A1_C3-FITC_glomerulo_005.png,0,train
R23_188_2A1_IgG-FITC_glomerulo_002.png,0,train
R23_188_2A1_IgG-FITC_glomerulo_001.png,0,train
R22-142 IgG_glomerulo_022.png,0,train
R22-142 IgG_glomerulo_017.png,0,train
R22-142 IgG_glomerulo_016.png,0,train
R22-142 IgG_glomerulo_006.png,0,train
R22-142 IgG_glomerulo_012.png,0,train
R22-142 IgG_glomerulo_024.png,0,train
R22-142 IgG_glomerulo_018.png,0,train
R22-142 IgG_glomerulo_011.png,0,train
R22-142 IgG_glomerulo_013.png,0,train
R22-142 IgG_glomerulo_003.png,0,train
R22-142 IgG_glomerulo_007.png,0,train
R22-142 IgG_glomerulo_021.png,0,train
R22-142 IgG_glomerulo_014.png,0,train
R22-142 IgG_glomerulo_010.png,0,train
R22-142 IgG_glomerulo_004.png,0,train
R22-142 IgG_glomerulo_009.png,0,train
R22-142 IgG_glomerulo_001.png,0,train
R22-142 IgG_glomerulo_027.png,0,train
R22-142 IgG_glomerulo_008.png,0,train
R22-142 IgG_glomerulo_005.png,0,train
R22-142 IgG_glomerulo_015.png,0,train
R22-142 IgG_glomerulo_023.png,0,train
R22-142 IgG_glomerulo_025.png,0,train
R22-142 IgG_glomerulo_020.png,0,train
